rowid,AL,AR,CO,CT,DC,DE,GA,IA,IL,IN,KS,KY,LA,MA,MD,ME,MO,MS,MT,NC,ND,NE,NM,OH,OK,PA,SC,SD,TN,TX,VA,WV,WY
1,All areas are prime farmland,All areas are prime farmland,All areas are prime farmland,All areas are prime farmland,All areas are prime farmland,All areas are prime farmland,All areas are prime farmland,All areas are prime farmland,All areas are prime farmland,All areas are prime farmland,All areas are prime farmland,All areas are prime farmland,All areas are prime farmland,All areas are prime farmland,All areas are prime farmland,All areas are prime farmland,All areas are prime farmland,All areas are prime farmland,All areas are prime farmland,All areas are prime farmland,All areas are prime farmland,All areas are prime farmland,All areas are prime farmland,All areas are prime farmland,All areas are prime farmland,All areas are prime farmland,All areas are prime farmland,All areas are prime farmland,All areas are prime farmland,All areas are prime farmland,All areas are prime farmland,All areas are prime farmland,All areas are prime farmland
2,Classification missing Classification missing,Classification missing Classification missing,Classification missing Classification missing,Classification missing Classification missing,Farmland of statewide importance,Farmland of statewide importance,Classification missing Classification missing,Classification missing Classification missing,Farmland of statewide importance,Classification missing Classification missing,Farmland of statewide importance,Classification missing Classification missing,Classification missing Classification missing,Classification missing Classification missing,Classification missing Classification missing,Classification missing Classification missing,Farmland of statewide importance,Farmland of statewide importance,Classification missing Classification missing,Classification missing Classification missing,Farmland of local importance,Classification missing Classification missing,Classification missing Classification missing,Farmland of local importance,Classification missing Classification missing,Farmland of local importance,Classification missing Classification missing,Classification missing Classification missing,Classification missing Classification missing,Classification missing Classification missing,Classification missing Classification missing,Farmland of local importance,Classification missing Classification missing
3,Farmland of statewide importance,Farmland of statewide importance,Classification missing0Classification missing,Farmland of statewide importance,Not prime farmland,Not prime farmland,Farmland of statewide importance,Farmland of local importance,Not prime farmland,Farmland of statewide importance,Not prime farmland,Farmland of statewide importance,Farmland of statewide importance,Farmland of statewide importance,Farmland of statewide importance,Classification missing0Classification missing,Not prime farmland,Not prime farmland,Classification missing0Classification missing,Farmland of local importance,Farmland of statewide importance,Farmland of statewide importance,Classification missing0Classification missing,Farmland of unique importance,Not prime farmland,Farmland of statewide importance,Farmland of statewide importance,Farmland of local importance,Farmland of local importance,Farmland of statewide importance,Classification missing0Classification missing,Farmland of statewide importance,Classification missing0Classification missing
4,Not prime farmland,Not prime farmland,Farmland of local importance,Not prime farmland,Prime farmland if drained,Prime farmland if drained,Not prime farmland,Farmland of statewide importance,Prime farmland if drained,Not prime farmland,Prime farmland if drained,Not prime farmland,Not prime farmland,Farmland of unique importance,Not prime farmland,Farmland of statewide importance,Prime farmland if drained,Prime farmland if drained,Farmland of local importance,Farmland of statewide importance,Not prime farmland,Not prime farmland,Farmland of local importance,Not prime farmland,Prime farmland if irrigated,"Farmland of statewide importance, if drained",Not prime farmland,Farmland of statewide importance,Farmland of statewide importance,"Farmland of statewide importance, if drained",Farmland of statewide importance,Farmland of unique importance,"Farmland of statewide importance, if irrigated"
5,Prime farmland if drained,Prime farmland if drained,Farmland of statewide importance,NA,Prime farmland if protected from flooding or not frequently flooded during the growing season,Prime farmland if irrigated,NA,Not prime farmland,Prime farmland if drained and either protected from flooding or not frequently flooded during the growing season,Prime farmland if drained,Prime farmland if drained and either protected from flooding or not frequently flooded during the growing season,Prime farmland if drained,Prime farmland if drained,Not prime farmland,Prime farmland if drained,Not prime farmland,NA,Prime farmland if drained and either protected from flooding or not frequently flooded during the growing season,Farmland of statewide importance,"Farmland of statewide importance, if drained",Prime farmland if drained,Prime farmland if drained,Farmland of statewide importance,Prime farmland if drained,NA,Farmland of unique importance,Prime farmland if drained,"Farmland of statewide importance, if warm enough",Not prime farmland,"Farmland of statewide importance, if irrigated",Not prime farmland,Not prime farmland,"Farmland of statewide importance, if warm enough"
6,Prime farmland if protected from flooding or not frequently flooded during the growing season,Prime farmland if drained and either protected from flooding or not frequently flooded during the growing season,"Farmland of statewide importance, if warm enough, and either drained or either protected from flooding or not frequently flooded during the growing season",NA,NA,NA,NA,Prime farmland if drained,Prime farmland if irrigated,Prime farmland if drained and either protected from flooding or not frequently flooded during the growing season,Prime farmland if irrigated,Prime farmland if drained and either protected from flooding or not frequently flooded during the growing season,Prime farmland if protected from flooding or not frequently flooded during the growing season,NA,Prime farmland if drained and either protected from flooding or not frequently flooded during the growing season,NA,NA,Prime farmland if protected from flooding or not frequently flooded during the growing season,"Farmland of statewide importance, if drained",Farmland of unique importance,Prime farmland if irrigated,Prime farmland if irrigated,Not prime farmland,Prime farmland if drained and either protected from flooding or not frequently flooded during the growing season,NA,Not prime farmland,Prime farmland if drained and either protected from flooding or not frequently flooded during the growing season,Not prime farmland,Prime farmland if drained,"Farmland of statewide importance, if irrigated and either protected from flooding or not frequently flooded during the growing season",Prime farmland if drained,NA,"Farmland of statewide importance, if warm enough, and either drained or either protected from flooding or not frequently flooded during the growing season"
7,NA,Prime farmland if protected from flooding or not frequently flooded during the growing season,Farmland of unique importance,NA,NA,NA,NA,Prime farmland if drained and either protected from flooding or not frequently flooded during the growing season,Prime farmland if protected from flooding or not frequently flooded during the growing season,Prime farmland if protected from flooding or not frequently flooded during the growing season,Prime farmland if protected from flooding or not frequently flooded during the growing season,Prime farmland if protected from flooding or not frequently flooded during the growing season,NA,NA,Prime farmland if irrigated,NA,NA,NA,"Farmland of statewide importance, if drained and either protected from flooding or not frequently flooded during the growing season",Not prime farmland,NA,NA,Prime farmland if irrigated,Prime farmland if protected from flooding or not frequently flooded during the growing season,NA,Prime farmland if drained,Prime farmland if irrigated,Prime farmland if drained,Prime farmland if drained and either protected from flooding or not frequently flooded during the growing season,Not prime farmland,Prime farmland if drained and either protected from flooding or not frequently flooded during the growing season,NA,Not prime farmland
8,NA,NA,Not prime farmland,NA,NA,NA,NA,Prime farmland if irrigated,NA,"Prime farmland if subsoiled, completely removing the root inhibiting soil layer",NA,NA,NA,NA,Prime farmland if protected from flooding or not frequently flooded during the growing season,NA,NA,NA,"Farmland of statewide importance, if protected from flooding or not frequently flooded during the growing season",Prime farmland if drained,NA,NA,Prime farmland if irrigated and reclaimed of excess salts and sodium,NA,NA,NA,Prime farmland if irrigated and drained,Prime farmland if drained and either protected from flooding or not frequently flooded during the growing season,Prime farmland if protected from flooding or not frequently flooded during the growing season,Prime farmland if drained,Prime farmland if irrigated,NA,Prime farmland if drained and either protected from flooding or not frequently flooded during the growing season
9,NA,NA,Prime farmland if drained and either protected from flooding or not frequently flooded during the growing season,NA,NA,NA,NA,Prime farmland if protected from flooding or not frequently flooded during the growing season,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Farmland of unique importance,Prime farmland if drained and either protected from flooding or not frequently flooded during the growing season,NA,NA,Prime farmland if protected from flooding or not frequently flooded during the growing season,NA,NA,NA,Prime farmland if protected from flooding or not frequently flooded during the growing season,Prime farmland if irrigated,NA,Prime farmland if drained and either protected from flooding or not frequently flooded during the growing season,Prime farmland if protected from flooding or not frequently flooded during the growing season,NA,Prime farmland if irrigated
10,NA,NA,Prime farmland if irrigated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not prime farmland,Prime farmland if irrigated,NA,NA,NA,NA,NA,NA,NA,Prime farmland if irrigated and reclaimed of excess salts and sodium,NA,Prime farmland if irrigated,NA,NA,Prime farmland if irrigated and drained
11,NA,NA,Prime farmland if irrigated and drained,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prime farmland if drained,Prime farmland if irrigated and either protected from flooding or not frequently flooded during the growing season,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prime farmland if irrigated and either protected from flooding or not frequently flooded during the growing season,NA,NA,NA
12,NA,NA,Prime farmland if irrigated and either protected from flooding or not frequently flooded during the growing season,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prime farmland if drained and either protected from flooding or not frequently flooded during the growing season,Prime farmland if protected from flooding or not frequently flooded during the growing season,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prime farmland if irrigated and the product of I (soil erodibility) x C (climate factor) does not exceed 60,NA,NA,NA
13,NA,NA,Prime farmland if irrigated and reclaimed of excess salts and sodium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prime farmland if irrigated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prime farmland if protected from flooding or not frequently flooded during the growing season,NA,NA,NA
14,NA,NA,Prime farmland if irrigated and the product of I (soil erodibility) x C (climate factor) does not exceed 60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prime farmland if irrigated and the product of I (soil erodibility) x C (climate factor) does not exceed 60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,Prime farmland if protected from flooding or not frequently flooded during the growing season,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
